name,total_case,total_deaths,total_recovered,active_cases,serious_critical
,,,,,
,"60,604,827","1,212,307","48,593,700","10,798,820","20,899"
,"83,116,322","1,232,492","80,377,925","1,505,905","30,483"
,"39,203,192","1,186,448","37,260,255","756,489","12,773"
,"78,096,217","1,461,336","68,351,762","8,283,119","22,938"
,"9,026,626","225,426","8,244,223","556,977","1,540"
,"391,472","4,360","349,103","38,009",165
,721,15,706,0,0
,"270,439,377","5,322,384","243,177,674","21,939,319","88,798"
USA,"50,801,455","817,956 ","40,003,674","9,979,825","15,001"
India,"34,697,860","475,636 ","34,130,768","91,456","8,944"
Brazil,"22,189,867","616,941 ","21,414,318","158,608","8,318"
UK,"10,819,515","146,439 ","9,490,407","1,182,669",900
Russia,"10,016,896","289,483 ","8,741,355","986,058","2,300"
Turkey,"9,040,179","79,151 ","8,614,742","346,286","1,128"
France,"8,258,692","120,431 ",,"838,455","2,602"
Germany,"6,530,912","106,331 ","5,435,700","988,881","4,636"
Iran,"6,154,813","130,722 ","5,969,591","54,500","3,104"
Argentina,"5,358,455","116,771 ","5,216,007","25,677",693
Spain,"5,290,190","88,381 ","4,943,735","258,074","1,056"
Italy,"5,225,517","134,831 ","4,805,809","284,877",829
Colombia,"5,093,534","129,107 ","4,933,825","30,602",342
Indonesia,"4,259,143","143,936 ","4,110,049","5,158",
Mexico,"3,918,216","296,672 ","3,273,260","348,284","4,798"
Poland,"3,828,248","88,479 ","3,289,117","450,652","2,142"
Ukraine,"3,563,165","91,215 ","3,205,879","266,071",177
South Africa,"3,167,497","90,137 ","2,913,232","164,128",546
Netherlands,"2,880,426","20,112 ",,"611,191",637
Philippines,"2,836,592","50,280 ","2,775,057","11,255",899
Malaysia,"2,691,639","30,879 ","2,601,908","58,852",407
Czechia,"2,338,402","34,551 ","2,053,306","250,545",984
Peru,"2,251,027","201,650 ",N/A,N/A,993
Thailand,"2,172,044","21,192 ","2,101,326","49,526","1,369"
Iraq,"2,087,837","23,978 ","2,055,454","8,405",76
Belgium,"1,929,772","27,504 ","1,421,499","480,769",827
Canada,"1,835,229","29,919 ","1,766,728","38,582",469
Romania,"1,793,149","57,696 ","1,715,859","19,594",722
Chile,"1,782,804","38,686 ",,"61,779",670
Japan,"1,728,820","18,373 ","1,709,488",959,26
Bangladesh,"1,579,325","28,028 ","1,544,150","7,147","1,369"
Vietnam,"1,413,051","27,839 ","1,054,720","330,492","7,596"
Israel,"1,350,215","8,216 ","1,336,391","5,608",100
Pakistan,"1,289,293","28,836 ","1,251,409","9,048",731
Serbia,"1,274,047","12,178 ","1,229,344","32,525",177
Sweden,"1,229,217","15,158 ",,"45,871",48
Austria,"1,228,034","13,162 ","1,144,860","70,012",568
Portugal,"1,194,288","18,658 ","1,107,513","68,117",143
Hungary,"1,182,922","36,429 ","968,897","177,596",573
Switzerland,"1,106,573","11,786 ",,"199,351",273
Jordan,"1,010,033","11,982 ","931,323","66,728","1,295"
Greece,"1,002,877","19,245 ","919,746","63,886",708
Kazakhstan,"979,975","12,864 ","948,757","18,354",528
Cuba,"963,628","8,313 ","954,927",388,16
Morocco,"951,482","14,796 ","935,067","1,619",103
Georgia,"889,286","12,731  ","832,675","43,880",
Nepal,"824,222","11,554 ","806,778","5,890",114
Slovakia,"774,857","15,354 ",,"106,896",581
UAE,"742,802","2,151 ","737,896","2,755",
Tunisia,"719,586","25,432 ","692,768","1,386",50
Bulgaria,"714,688","29,536 ","587,577","97,575",629
Lebanon,"690,054","8,848 ","640,860","40,346",186
