name,population_2021,population_2020,area,density
,,,,
China,"1,444,216,107 ","1,439,323,776 ","9,706,961",149/km²
India,"1,393,409,038 ","1,380,004,385 ","3,287,590",424/km²
United States,"332,915,073 ","331,002,651 ","9,372,610",36/km²
Indonesia,"276,361,783 ","273,523,615 ","1,904,569",145/km²
Pakistan,"225,199,937 ","220,892,340 ","881,912",255/km²
Brazil,"213,993,437 ","212,559,417 ","8,515,767",25/km²
Nigeria,"211,400,708 ","206,139,589 ","923,768",229/km²
Bangladesh,"166,303,498 ","164,689,383 ","147,570","1,127/km²"
Russia,"145,912,025 ","145,934,462 ","17,098,242",9/km²
Mexico,"130,262,216 ","128,932,753 ","1,964,375",66/km²
Japan,"126,050,804 ","126,476,461 ","377,930",334/km²
Ethiopia,"117,876,227 ","114,963,588 ","1,104,300",107/km²
Philippines,"111,046,913 ","109,581,078 ","342,353",324/km²
Egypt,"104,258,327 ","102,334,404 ","1,002,450",104/km²
Vietnam,"98,168,833 ","97,338,579 ","331,212",296/km²
DR Congo,"92,377,993 ","89,561,403 ","2,344,858",39/km²
Turkey,"85,042,738 ","84,339,067 ","783,562",109/km²
Iran,"85,028,759 ","83,992,949 ","1,648,195",52/km²
Germany,"83,900,473 ","83,783,942 ","357,114",235/km²
Thailand,"69,950,850 ","69,799,978 ","513,120",136/km²
United Kingdom,"68,207,116 ","67,886,011 ","242,900",281/km²
France,"65,426,179 ","65,273,511 ","551,695",119/km²
Tanzania,"61,498,437 ","59,734,218 ","945,087",65/km²
Italy,"60,367,477 ","60,461,826 ","301,336",200/km²
South Africa,"60,041,994 ","59,308,690 ","1,221,037",49/km²
Kenya,"54,985,698 ","53,771,296 ","580,367",95/km²
Myanmar,"54,806,012 ","54,409,800 ","676,578",81/km²
South Korea,"51,305,186 ","51,269,185 ","100,210",512/km²
Colombia,"51,265,844 ","50,882,891 ","1,141,748",45/km²
Uganda,"47,123,531 ","45,741,007 ","241,550",195/km²
Spain,"46,745,216 ","46,754,778 ","505,992",92/km²
Argentina,"45,605,826 ","45,195,774 ","2,780,400",16/km²
Sudan,"44,909,353 ","43,849,260 ","1,886,068",24/km²
Algeria,"44,616,624 ","43,851,044 ","2,381,741",19/km²
