name,stringency_index
Afghanistan,27.78
Albania,45.37
Algeria,39.81
Andorra,59.26
Angola,66.67
Argentina,42.59
Aruba,41.67
Australia,50.46
Austria,64.81
Azerbaijan,40.74
Bahamas,41.67
Bahrain,32.41
Bangladesh,44.44
Barbados,67.59
Belarus,19.44
Belgium,53.70
Belize,65.74
Benin,55.56
Bermuda,42.59
Bhutan,53.24
Bolivia,33.80
Bosnia and Herzegovina,44.44
Botswana,13.89
Brazil,61.57
Brunei,63.89
Bulgaria,47.22
Burkina Faso,13.89
Burundi,8.33
Cambodia,60.65
Cameroon,22.22
Canada,62.50
Cape Verde,37.96
Central African Republic,24.07
Chad,22.22
Chile,43.98
China,59.72
Colombia,47.22
Congo,29.63
Costa Rica,49.07
Cote d'Ivoire,17.59
Croatia,40.74
Cuba,21.30
Cyprus,46.30
Czechia,35.19
Democratic Republic of Congo,39.81
Denmark,44.44
Djibouti,43.52
Dominica,79.63
Dominican Republic,41.67
Ecuador,57.87
Egypt,43.52
El Salvador,27.78
Eritrea,62.04
Estonia,42.59
Eswatini,61.11
Ethiopia,43.52
Faeroe Islands,40.74
Fiji,90.74
Finland,37.04
France,66.67
Gabon,49.07
Gambia,13.89
Georgia,50.00
Germany,84.26
Ghana,40.74
Greece,80.09
Greenland,34.26
Guam,34.26
Guatemala,45.37
Guinea,59.26
Guyana,54.63
Haiti,64.81
Honduras,52.78
Hong Kong,52.78
Hungary,27.78
Iceland,38.89
India,51.39
Indonesia,60.65
Iran,61.57
Iraq,38.89
Ireland,50.00
Israel,56.48
Italy,76.85
Jamaica,78.70
Japan,47.22
Jordan,34.26
Kazakhstan,71.30
Kenya,32.41
Kiribati,22.22
Kosovo,42.59
Kuwait,26.85
Kyrgyzstan,42.59
Laos,71.30
Latvia,43.52
Lebanon,31.48
Lesotho,52.78
Liberia,26.85
Libya,38.89
Liechtenstein,25.00
Lithuania,46.30
Luxembourg,46.30
Macao,32.41
Madagascar,13.89
Malawi,39.81
Malaysia,55.09
Mali,44.44
Malta,43.52
Mauritania,44.44
Mauritius,47.22
Mexico,31.48
Moldova,32.41
Monaco,40.74
Mongolia,37.04
Morocco,67.59
Mozambique,48.15
Myanmar,71.30
Namibia,25.00
Nepal,54.17
Netherlands,56.48
New Zealand,65.28
Nicaragua,8.33
Niger,16.67
Nigeria,37.96
Norway,34.72
Oman,49.07
Pakistan,31.94
Palestine,25.00
Panama,62.04
Papua New Guinea,63.89
Paraguay,35.19
Peru,63.89
Philippines,33.33
Poland,41.67
Portugal,43.52
Puerto Rico,26.85
Qatar,52.78
Romania,58.33
Russia,60.65
Rwanda,49.07
San Marino,37.96
Saudi Arabia,51.85
Senegal,21.30
Serbia,33.33
Seychelles,69.44
Sierra Leone,29.63
Singapore,44.44
Slovakia,64.81
Slovenia,55.56
Solomon Islands,22.22
Somalia,35.19
South Africa,45.37
South Korea,41.67
South Sudan,35.19
Spain,43.98
Sri Lanka,54.63
Sudan,13.89
Suriname,69.44
Sweden,19.44
Switzerland,50.00
Syria,60.65
Taiwan,20.37
Tajikistan,29.63
Tanzania,8.33
Thailand,40.28
Timor,42.13
Togo,38.89
Tonga,47.22
Trinidad and Tobago,61.11
Tunisia,16.67
Turkey,54.63
Turkmenistan,75.00
Uganda,73.15
Ukraine,57.41
United Arab Emirates,51.85
United Kingdom,46.76
United States,47.69
United States Virgin Islands,38.89
Uruguay,31.48
Uzbekistan,44.44
Vanuatu,19.44
Venezuela,34.26
Vietnam,67.13
Yemen,12.04
Zambia,43.52
Zimbabwe,49.07
