active_cases,country_name,total_cases,total_deaths,total_recovered
"4,829",Indonesia,"4,260,677","144,013 ","4,111,835"
"9,384",Philippines,"2,837,719","50,794 ","2,777,541"
"52,218",Malaysia,"2,721,544","31,135 ","2,638,191"
"38,892",Thailand,"2,196,529","21,440 ","2,136,197"
"415,765",Vietnam,"1,555,455","29,791 ","1,109,899"
"3,393",Myanmar,"528,380","19,226 ","505,761"
"3,537",Singapore,"276,105",815 ,"271,753"
607,Cambodia,"120,427","3,005 ","116,815"
"91,783",Laos,"99,396",274 ,"7,339"
7,Timor Leste,"19,833",122 ,"19,704"
201,Brunei,"15,412",98 ,"15,113"
